tconst,averageRating,numVotes
tt0210953,5.4,314
tt0211181,4.8,37167
tt0211279,7.1,20
tt0211296,6.9,31
tt0211309,6.5,477
tt0211387,6.7,6484
tt0211423,7.2,21
tt0211443,4.4,55398
tt0211465,6.1,23752
tt0211492,6.8,4471
tt0211661,5.9,1784
tt0211718,7.2,2868
tt0211915,8.3,741316
tt0211933,6.5,75346
tt0211938,5.7,12485
tt0211941,5.5,1539
tt0211946,7.2,14472
tt0212048,4.4,314
tt0212059,4.8,171
tt0212132,7.4,2946
tt0212215,6.1,253
tt0212271,4.0,231
tt0212292,6.7,226
tt0212294,6.0,138
tt0212298,7.0,106
tt0212338,7.0,328749
tt0212346,6.3,204218
tt0212360,6.3,76
tt0212380,6.2,8520
tt0212495,5.0,273
tt0212604,7.3,1920
tt0212667,3.4,179
tt0212712,7.4,56752
tt0212719,5.5,124
tt0212720,7.2,303540
tt0212742,5.3,1752
tt0212815,7.3,4497
tt0212826,7.0,5674
tt0212830,5.2,6006
tt0212867,4.9,1245
tt0212873,7.3,103
tt0212879,6.0,5684
tt0212881,3.8,102
tt0212910,5.7,1272
tt0212974,6.5,4313
tt0212985,6.8,269839
tt0213113,3.8,76
tt0213127,6.2,66
tt0213149,6.2,327144
tt0213203,6.1,12448
tt0213205,5.9,123
tt0213266,7.2,37
tt0213446,4.9,472
tt0213561,6.3,448
tt0213642,3.3,510
tt0213690,3.4,296
tt0213790,5.1,13151
tt0213802,3.2,1891
tt0213847,7.5,100001
tt0213890,7.0,29464
tt0213985,6.9,2582
tt0214032,5.8,59
tt0214106,4.1,138
tt0214140,8.1,36
tt0214277,6.0,273
tt0214388,5.8,22804
tt0214520,5.7,83
tt0214529,4.4,4899
tt0214548,5.8,68
tt0214619,5.4,128
tt0214638,3.5,328
tt0214646,5.9,153
tt0214728,5.9,665
tt0214757,4.5,484
tt0214871,3.6,1567
tt0214878,6.0,1655
tt0215129,6.5,167421
tt0215135,4.4,3469
tt0215139,6.1,478
tt0215223,5.6,45
tt0215232,4.9,240
tt0215458,5.5,123
tt0215516,6.2,1578
tt0215545,6.6,11496
tt0215679,6.1,492
tt0215681,6.6,4161
tt0215719,7.9,48
tt0215727,4.3,131
tt0215750,7.6,257906
tt0215841,6.4,221
tt0215941,3.8,132
tt0216105,6.5,111
tt0216196,4.2,758
tt0216216,5.9,121263
tt0216250,6.1,54
tt0216256,6.2,90
tt0216279,6.0,529
tt0216290,7.1,37
tt0216417,5.7,2086
tt0216522,5.1,232
tt0216578,6.8,1248
tt0216584,5.5,3909
tt0216587,3.2,88
tt0216620,4.3,2317
tt0216625,7.1,13587
tt0216651,7.6,31422
tt0216669,6.3,95
tt0216689,6.6,1248
tt0216746,3.7,1874
tt0216772,4.1,1281
tt0216787,7.2,9732
tt0216799,7.0,6347
tt0216800,7.1,11343
tt0216837,8.4,23
tt0216841,4.1,1032
tt0216890,4.8,469
tt0216930,4.7,1724
tt0216982,6.2,645
tt0216990,6.7,443
tt0217019,6.1,1740
tt0217031,4.8,386
tt0217086,4.6,1390
tt0217107,3.8,664
tt0217119,6.9,1633
tt0217135,6.0,328
tt0217287,3.5,292
tt0217319,5.2,468
tt0217331,5.0,2727
tt0217355,5.7,3926
tt0217505,7.5,432505
tt0217570,4.1,239
tt0217621,4.6,423
tt0217630,5.3,28855
tt0217654,3.4,805
tt0217664,7.5,40
tt0217686,6.3,96
tt0217756,5.3,14305
tt0217758,5.2,622
tt0217780,3.0,134
tt0217787,5.4,201
tt0217788,5.2,178
tt0217802,4.2,224
tt0217824,6.2,1694
tt0217869,7.3,409652
tt0217978,5.7,1483
tt0217979,3.4,674
tt0218000,6.2,642
tt0218032,5.2,192
tt0218053,3.0,230
tt0218067,4.3,2013
tt0218080,3.3,1230
tt0218107,5.6,1137
tt0218112,6.2,1470
tt0218126,3.4,444
tt0218138,4.6,829
tt0218140,8.7,35
tt0218141,5.9,1743
tt0218182,6.2,1681
tt0218298,5.6,602
tt0218323,4.8,351
tt0218378,6.3,6341
tt0218379,6.3,1693
tt0218390,5.8,193
tt0218426,5.4,150
tt0218475,6.6,80
tt0218533,6.7,2367
tt0218561,5.6,82
tt0218581,5.0,2546
tt0218616,6.5,1263
tt0218619,3.8,8981
tt0218625,3.9,1621
tt0218641,3.1,790
tt0218741,5.9,135
tt0218800,5.7,259
tt0218817,6.1,29276
tt0218839,7.4,61228
tt0218864,5.8,7123
tt0218922,6.0,56322
tt0218967,6.8,109389
tt0218978,5.5,100
tt0219171,6.0,2547
tt0219179,7.2,9
tt0219210,5.2,175
tt0219214,3.8,172
tt0219223,4.9,53
tt0219272,5.1,222
tt0219288,7.5,3002
tt0219327,5.7,542
tt0219333,5.7,832
tt0219336,5.5,96
tt0219338,4.7,46
tt0219374,6.7,3938
tt0219400,5.4,5986
tt0219408,5.6,434
tt0219469,5.7,413
tt0219519,6.3,1581
tt0219636,6.2,474
tt0219640,4.0,387
tt0219643,5.3,43
tt0219653,4.9,33649
tt0219687,7.3,58
tt0219699,6.7,67786
tt0219756,5.5,100
tt0219822,6.4,18232
tt0219854,6.1,41995
tt0219952,5.0,10430
tt0219957,4.8,293
tt0219965,6.5,67879
tt0220005,5.8,89
tt0220034,6.3,299
tt0220099,6.3,18742
tt0220100,6.1,6791
tt0220122,6.5,30
tt0220157,6.5,1315
tt0220322,7.3,29
tt0220331,5.3,26
tt0220332,6.0,49
tt0220343,5.4,1405
tt0220371,5.2,37
tt0220399,5.4,89
tt0220506,3.9,42814
tt0220514,3.8,357
tt0220580,6.8,13175
tt0220605,6.4,23
tt0220607,6.0,9
tt0220627,6.8,6118
tt0220631,6.8,1494
tt0220651,6.7,323
tt0220652,5.3,597
tt0220827,6.2,6903
tt0220864,4.1,162
tt0221013,6.6,1041
tt0221027,7.5,254150
tt0221069,6.2,3485
tt0221073,7.1,38342
tt0221074,6.4,815
tt0221197,4.4,394
tt0221218,5.8,36608
tt0221297,4.4,280
tt0221431,4.7,437
tt0221463,3.7,147
tt0221559,6.9,4294
tt0221563,6.0,1185
tt0221637,5.8,96
tt0221799,6.8,4307
tt0221823,7.3,50
tt0221837,6.2,278
tt0221838,6.8,2436
tt0221885,4.9,1141
tt0221889,5.8,3729
tt0221928,5.1,2089
tt0221982,4.4,757
tt0222012,7.9,12595
tt0222020,3.3,613
tt0222023,8.4,10
tt0222024,5.3,6892
tt0222167,4.4,1127
tt0222270,6.1,7540
tt0222293,6.7,2010
tt0222375,5.6,269
tt0222666,3.5,646
tt0222705,5.1,126
tt0222710,7.7,21
tt0222717,4.3,146
tt0222790,6.3,39
tt0222812,5.8,11971
tt0222849,8.2,27
tt0222850,6.9,7616
tt0222851,7.1,23022
tt0222989,7.5,16
tt0223268,4.3,4168
tt0223284,3.5,211
tt0223593,5.9,141
tt0223744,4.2,195
tt0223828,5.2,89
tt0223856,5.3,241
tt0223889,5.3,89
tt0223897,7.2,118188
tt0223911,4.8,86
tt0223954,6.0,2246
tt0224025,4.1,1038
tt0224050,6.2,262
tt0224084,5.5,107
tt0224086,3.6,214
tt0224451,7.2,86
tt0224578,7.1,3768
tt0224626,4.0,911
tt0224755,6.3,82
tt0225071,5.6,23812
tt0225196,5.5,309
tt0225518,8.0,35
tt0225828,3.8,168
tt0226057,4.5,27
tt0226094,5.8,314
tt0226225,5.3,148
tt0226238,5.9,62
tt0226351,4.3,202
tt0226430,5.7,889
tt0226498,5.8,56
tt0226591,7.5,57
tt0226708,5.6,247
tt0226851,6.2,15
tt0226935,4.8,2145
tt0227005,6.3,18479
tt0227189,3.3,178
tt0227194,5.5,5085
tt0227200,3.3,401
tt0227224,6.0,165
tt0227277,7.1,6488
tt0227445,6.8,126867
tt0227458,6.2,726
tt0227538,5.6,115474
tt0227671,5.2,438
tt0227984,6.3,49217
tt0228004,5.5,216
tt0228054,5.6,179
tt0228121,3.2,157
tt0228214,7.4,10
tt0228242,6.8,1798
tt0228277,6.2,755
tt0228301,5.4,575
tt0228333,4.9,54209
tt0228389,4.0,8
tt0228488,6.2,1956
tt0228525,7.4,24
tt0228536,5.9,516
tt0228687,7.3,6398
tt0228690,2.7,176
tt0228711,4.9,463
tt0228720,4.1,280
tt0228750,6.3,56955
tt0228786,6.9,61208
tt0228871,5.8,1283
tt0228878,3.3,114
tt0228889,7.1,43
tt0228891,4.8,522
tt0228906,5.8,17
tt0228977,6.9,62
tt0228982,6.4,204
tt0228992,6.2,144
tt0229002,6.1,1151
tt0229003,4.8,554
tt0229021,5.8,328
tt0229211,5.1,190
tt0229226,6.4,104
tt0229260,4.0,37670
tt0229340,7.3,5129
tt0229362,3.7,371
tt0229664,7.6,2192
tt0229752,4.7,112
tt0229792,5.1,132
tt0229942,5.5,94
tt0230011,6.9,115626
tt0230025,6.4,2054
tt0230030,6.1,102589
tt0230056,5.2,32
tt0230169,5.5,5355
tt0230183,6.9,182
tt0230189,6.7,42
tt0230212,8.9,11
tt0230252,6.8,82
tt0230308,6.7,63
tt0230350,4.6,34
